sentiment,date,text,score
|neutral|,5/19/17, $DJIA WKLY Best performing $WMT $JNJ $MCD $CAT $IBM $KO $CVX $UNH $MRK Worst $CSCO $NKE $GS $JPM $DIS $AAPL $DDâ€_ https://t.co/Yq1SJ7WCuX,0
,,,
|positive|,5/19/17," Current state of Big Tech &amp; the opportunities $AAPL, $AMZN, $QQQ Stock Trading Investing: https://t.co/9Ban9LX74Y https://t.co/JeYZfHkBF7",3
,,,
|positive|,5/19/17, RT @zacharyparadis: This chart is amazing for several reasonsâ€“one is that $AAPL is now just $1B behind $MSFT in profit over the last 20 yeaâ€_,4
,,,
|positive|,5/19/17, 'Finger Spinner' Tops the Free App Charts as the Fidget Spinner Craze Goes Digital https://t.co/weS3q0D9TGâ€_ https://t.co/pKXnuScCYp,3
,,,
|neutral|,5/19/17, RT @TraderTargets: $AAPL Projection vs TodayActual. Stats on site. 100% fees to charity https://t.co/iOsze0egDx,0
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|neutral|,5/19/17, $AAPL Projection vs TodayActual. Stats on site. 100% fees to charity https://t.co/iOsze0egDx,0
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|neutral|,5/19/17, RT @RatingsNetwork: Apple's buy rating reiterated at Royal Bank of Canada. $157.00 PT. https://t.co/FkTGrLKjjd $AAPL #AAPL,0
,,,
|neutral|,5/19/17, RT @Ascend_Trading: Look what was #1 on #GapScan this AM.... We were ready $GLYC  @TradeIdeas1 $FB $TWTR $QQQ $SPY $AAPL https://t.co/yPgB8â€_,0
,,,
|positive|,5/19/17, RT @ChrisLacoursier: @MadMoneyOnCNBC @jimcramer JC biggest stock tip since $AMZN $AAPL and $GOOG were 1 dollar per share $NWBO is about toâ€_,1
,,,
|negative|,5/19/17, RT @racernic: per OI $AAPL has downside pressure into next wk. caution is warranted. (short term trading purpose),-3
,,,
|positive|,5/19/17, https://t.co/mAqge0snxU &lt;-- timothy sykes guide to the best #pennystock brokers! Must see free video! $CASY $AKRX $AAPL $OCUL $RGA,4
,,,
|positive|,5/19/17, Never stop being creative. https://t.co/YycaiqUoQY $cbs $ual $pm $utx $btu $adbe $low $oxy $wynn $x $nvda $lc $aapl #FridayFeeling,1
,,,
|positive|,5/19/17, Learn why Mobile Technology #Investing is a winning Proposition as $AAPL Valuation breaks $800bn  &gt;&gt;&gt;â€_ https://t.co/4T0yykAqMD,4
,,,
|neutral|,5/19/17, $AAPL $MSFT $FB $AMZN $SPX $SPY $GOOG https://t.co/udcqCxjlyh,0
,,,
|positive|,5/19/17, Have a great weekend! Tickers discussed this week: $ES_F $NQ_F $VIX $SPY $NVDA $AAPL $FB $RUT $WIX $GDDY,3
,,,
|neutral|,5/19/17, Apple Inc. $AAPL Earns â€œBuyâ€ù Rating from Royal Bank of Canada https://t.co/HVmqiIjdMH,0
,,,
|neutral|,5/19/17, Apple Inc. $AAPL Rating Reiterated by Royal Bank of Canada https://t.co/UR7PT7y59C,0
,,,
|positive|,5/19/17, Never stop being creative. https://t.co/vT9HmoiNbp $cbs $ual $pm $utx $btu $adbe $low $oxy $wynn $x $nvda $lc $aapl #FridayFeeling,1
,,,
|neutral|,5/19/17, Security firm recovers iCloud Notes beyond Apple's 30-day deletion window https://t.co/yL5aEXdmqM #AppleInsiderâ€_ https://t.co/Mj2WCZzBx2,0
,,,
|neutral|,5/19/17, Apple Inc. $AAPL Earns â€œBuyâ€ù Rating from Royal Bank of Canada https://t.co/xoabnUcy1w,0
,,,
|neutral|,5/18/17," RT @newswelldone: $AMZN $AAPL $HD $WMT $F:  Lookinâ€™ California, Feelinâ€™ Minnesota:  https://t.co/Jlc8Qga7d6",0
,,,
|negative|,5/18/17, All the other tech stocks were rallying like holy hell. $AAPL was being all sneaky like nothings happening over here move along,-1
,,,
|positive|,5/18/17, $CRM $AMZN $V $IBM $AAPL:  https://t.co/rwlQmdAimO: Cramerâ€™s Top Takeaways:  https://t.co/W3PMctmJPM,2
,,,
|positive|,5/18/17, $CMG &amp; $AAPL r great example of what a bottoming pattern/environment looks like. https://t.co/zm9cHwAsVG $WYNN $BABA https://t.co/GTPSTVy7uN,5
,,,
|neutral|,5/18/17, RT @wildsidekittens: Survey:  Do you know how to market your product?  $AAPL $MMEX $PGPM $GOOG $AMZN,0
,,,
|neutral|,5/18/17, RT @investingbuddy: Learn How $AAPL #Stocks Valuation Makes it First US Company to Exceed $800bn in quick report by @TradeZer0  &gt;&gt;&gt; https:/â€_,0
,,,
|positive|,5/18/17, RT @kazonomics: @DeadBounceCat @casacup Apple excited about its prospects in #Healthcare $aapl  forward valuations is over a #Trillion &amp; grâ€_,4
,,,
|positive|,5/18/17," Insider Selling: Apple Inc. $AAPL Insider Sells 11,949 Shares of Stock https://t.co/j2hKrNzM63",1
,,,
|neutral|,5/18/17, RT @MacHashNews: 'Fair Repair Act' proposal in New York under fire by Apple lobbyists https://t.co/sORj4lcFBT #AppleInsider $AAPL https://tâ€_,0
,,,
|positive|,5/18/17, RT @MarketSmith: Stocks Extend Modest Gains Late; Facebook Reaches Milestone: https://t.co/fUAEmTu6YY $AAPL $AMZN $NFLX $FB $GOOGL $AVGO $Sâ€_,4
,,,
|neutral|,5/18/17," $AMZN $AAPL $HD $WMT $F:  Lookinâ€™ California, Feelinâ€™ Minnesota:  https://t.co/Jlc8Qga7d6",0
,,,
|neutral|,5/18/17, RT @HowieRegay: Is it finally time to get rid of Apple? https://t.co/PxOOQABr8P #Financial $AAPL https://t.co/nMpcUt9x9Z,0
,,,
|positive|,5/18/17," Insider Selling: Apple Inc. $AAPL Insider Sells 11,949 Shares of Stock https://t.co/G9NI76Ee9q",1
,,,
|positive|,5/18/17, $SPY NYSE celebrates its 225th anniversary https://t.co/2FEkIcOdpe $QQQ $DIA $DJIA $IWM $TLT #stocks #stockmarket #investing #finance $AAPL,3
,,,
|neutral|,5/18/17, 'Fair Repair Act' proposal in New York under fire by Apple lobbyists https://t.co/sORj4lcFBT #AppleInsider $AAPL https://t.co/KEbkIRhUU1,0
,,,
|negative|,5/18/17, RT @Stockrookie2: Do I make mistakes? No. I can see it now go ahead and laught. You watch $AAPL https://t.co/a2nSuk9AA7,-3
,,,
|positive|,5/18/17," Insider Selling: Apple Inc. $AAPL Insider Sells 11,949 Shares of Stock https://t.co/CsqtyJYn9U",1
,,,
|positive|,5/18/17, Stocks Extend Modest Gains Late; Facebook Reaches Milestone: https://t.co/fUAEmTu6YY $AAPL $AMZN $NFLX $FB $GOOGLâ€_ https://t.co/QPly3H9JYZ,4
,,,
|positive|,5/18/17, Stocks Extend Modest Gains Late; Facebook Reaches Milestone: https://t.co/pEhagkVate $AAPL $AMZN $NFLX $FB $GOOGLâ€_ https://t.co/TJnT5IfeCT,4
,,,
|positive|,5/18/17," Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.  https://t.co/hfzDCphNC0",5
,,,
|neutral|,5/18/17," RT @seeitmarket: New Post - ""Trading Ideas: 5 Stocks To Watch Tomorrow"" http://t.co/BaChMom245 by @NoanetTrader $AGN $JAZZ $TLT $AAPL http:â€_",0
,,,
|neutral|,5/18/17," Should You Buy Apple Inc. (AAPL) Stock? 3 Pros, 3 Cons $AAPL https://t.co/O9ZU6xejyb https://t.co/sy8A8yrDU9",0
,,,
|neutral|,5/18/17," RT @NoanetTrader: ""@seeitmarket: New Post - ""Trading Ideas: 5 Stocks To Watch"" http://t.co/5jsqvqafv8 by @NoanetTrader $AGN $JAZZ $ITW $TLTâ€_",0
,,,
|neutral|,5/18/17," RT @seeitmarket: New Post - ""Trading Ideas: 5 Stocks To Watch Today"" http://t.co/BaChMo4qFv by @NoanetTrader $AGN $JAZZ $TLT $ITW $AAPL $MSâ€_",0
,,,
|neutral|,5/18/17, 10 Industries That Could Be Impacted by Driverless Cars https://t.co/m60Oy0SXsq $AAPL $ALL $ALLY  vÃ_a @benzinga,0
,,,
|negative|,5/18/17," As Qualcomm and Apple battle, don't overlook Nokia's patent dispute $QCOM, $AAPL, $NOK https://t.co/7CMBhpH48j https://t.co/41ukhsQ6Hh",-3
,,,
|positive|,5/18/17, So You Want to Start a Hedge Fund: Lessons for Managers and Allocators: https://t.co/hWSq4aqxRw $SPY $AAPL $TSLA $NFLX,1
,,,
|neutral|,5/18/17," RT @moneymorning: #Closingbell news for today: #Trump admin, $AAPL, and @SenWarren ....   https://t.co/2soCK3l26P",0
,,,
|positive|,5/18/17, A Simple Day Trading Strategy/PRB https://t.co/DJHmxfPxPo via @YouTube #Trading #Stocks #Options #Success $AAPL $FB $AMZN $TWTR $BIDU $GM $F,2
,,,
|negative|,5/18/17, Do I make mistakes? No. I can see it now go ahead and laught. You watch $AAPL https://t.co/a2nSuk9AA7,-3
,,,
|neutral|,5/18/17, RT @TraderTargets: $AAPL Projection vs TodayActual. Stats on site. 100% fees to charity. Moving with SPY https://t.co/1vDtBlU8tX,0
,,,
|neutral|,5/18/17, $AAPL Projection vs TodayActual. Stats on site. 100% fees to charity. Moving with SPY https://t.co/1vDtBlU8tX,0
,,,
|neutral|,5/18/17, RT @AnkurBanerjee17: This on $AAPL and #healthcare from @chrissyfarr  https://t.co/pgMj6TC7DG,0
,,,
|positive|,5/18/17, Best Option Brokers - $SPY $SPX $RUT $AAPL [Blog Archive] https://t.co/026A9dZzXr,3
,,,
|neutral|,5/18/17, $AAPL Where buyers flock after a sell-off https://t.co/PhRH5AVkpB,0
,,,
|neutral|,5/18/17, This on $AAPL and #healthcare from @chrissyfarr  https://t.co/pgMj6TC7DG,0
,,,
|neutral|,5/18/17, @zerohedge They can always buy $AAPL,0
,,,
|neutral|,5/18/17," RT @TradingWins: Focus On Weekly - Market Update by Vince Vora for May 18th, 2017 #stocks $AAPL $AMZN $NFLX $GOOGL $TSLA $F $FB https://t.câ€_",0
,,,
|neutral|,5/18/17," Move over Wilford Brimley, there's a new diabetes pitchman in town: Apple CEO Tim Cook - $AAPL  https://t.co/6yyIKfUNVd",0
,,,
|neutral|,5/18/17," RT @seeitmarket: New Post - ""Trading Setups: 5 Stocks To Watch Tomorrow"" http://t.co/U1IQGCzF38 by @NoanetTrader $AAPL $AMZN $AMBA $KITE $Pâ€_",0
,,,
|neutral|,5/18/17," Should You Buy Apple Inc. (AAPL) Stock? 3 Pros, 3 Cons $AAPL https://t.co/O6wDLopXvn https://t.co/oYii8gBm4N",0
,,,
|negative|,5/18/17, $AAPL if you think it's breaking  lose I hate to tell you it's not it's designed that way. Just got to be the first to get it,-3
,,,
|neutral|,5/18/17, Apple to Starting $1Billion Fund Investing American Manufacturing Jobs $AAPL https://t.co/iHmsz7XAnv #Wallst,0
,,,
|neutral|,5/18/17, RT @MarketPicker: NEW POST: Trading with an Edge (Part 3) â€“ $SPY $BABA $CREE $AAPL http://t.co/XCV6dIk8PH $STUDY #StockSelection,0
,,,
|neutral|,5/18/17, 'Invest In People Before The Business' - Warren Buffet $fb $twtr $yhoo $aapl,0
,,,
|neutral|,5/18/17, $AAPL:  New Insider Filing on  Senior Vice President  DANIEL J. RICCIO:  https://t.co/Jk8MZf3cQT,0
,,,
|neutral|,5/18/17," RT @BruniCharting: ""@MarketPicker: NEW POST: Trading with an Edge (Part 3) â€“ $SPY $BABA $CREE $AAPL http://t.co/eMDoeg8IA3 $STUDY #StockSelâ€_",0
,,,
